NOMBRE COMUN,STATUS,T-4
Gaviota de Franklin,Mb,8030.0
Gaviota dominicana,Ml,1001.0
"Cushuri, cormorán, cuervo de mar",R,673.0
Pelícano marrón,Mb,478.0
Gaviota capucho gris,R,310.0
Pato colorado,R,153.0
Gallinazo cabeza negra,R,150.0
Pato gargantillo,R,130.0
Polla de agua,R,128.0
Paloma cuculi,R,104.0
Santa Rosita,R,95.0
Pata amarilla mayor,Mb,82.0
"Cushuri, cormorán, cuervo de mar",Ml,65.0
Garza huaco,R,61.0
Pata amarilla menor,Mb,50.0
Falaropo de Wilson,Mb,49.0
Zarapito trinador,Mb,48.0
"Paloma doméstica, paloma de castilla",R,46.0
Perrito o cigüeñuela,R,43.5
Garza grande,R,33.0
Totorero,R,27.0
Garza tamanquita,R,26.0
"Gallareta andina, Huayno",R,20.0
Zambullidor pimpollo,R,19.0
Pato rana o taclón,R,19.0
Chisco,R,17.0
Cernícalo,R,16.0
Madrugadora o rabiblanca,R,16.0
Yanavico,R,15.0
"Tordo grande, tordo negro",Ml,12.0
Gorrion europeo,R,11.0
Zambullidor pico grueso,R,11.0
Chorlo doble collar,R,11.0
Garza bueyera,R,11.0
Águila pescadora,Mb,11.0
Zambullidor grande,R,11.0
Golondrina purpúrea,Mb,10.0
Huaco de corona amarilla,R,9.0
Gaviota peruana,Ml,9.0
"Huanchaco, Pecho colorado",R,8.0
Siete colores de la totora,R,8.0
Playero manchado,Mb,8.0
Garza blanca chica,R,8.0
Tordo amazónico cabeza amarilla,R,8.0
Gallareta frente roja,R,7.0
"Pato jerga, Pisacca",Ma,6.0
Garcita leonada,R,6.0
Pato cabeza verde,H,5.0
Gavilán oscuro acanalado,R,5.0
Guardacaballo,R,5.0
Amazilia costeña,R,4.0
Cucarachero,R,4.0
Bandurria de Cara Negra,Acc,4.0
Chorlo semipalmado,Mb,3.0
Playero pico fino,Mb,3.0
Gallineta común,R,3.0
Tirano tropical o pepite,R,3.0
"Turtupillín, putilla",R,2.0
Saltapalito,R,2.0
Avoceta andina,Ma,2.0
Garza cuca,Ma,2.0
Tordo parásito,R,2.0
Zambullidor plateado,Ma,2.0
Garza azul,R,1.0
Espatula rosada,Acc,1.0
Garza azul,Ml,1.0
Tortolita peruana,R,1.0
