NOMBRE COMUN,STATUS,T-2
Garza bueyera,R,425.0
"Cushuri, cormorán, cuervo de mar",Ml,78.0
Gallinazo cabeza negra,R,46.0
Yanavico,R,41.0
Gaviota capucho gris,R,31.0
Polla de agua,R,15.0
Santa Rosita,R,12.0
Pato colorado,R,11.0
"Gallareta andina, Huayno",R,9.0
Zambullidor grande,R,5.0
Garza tamanquita,R,4.0
Pato gargantillo,R,4.0
Siete colores de la totora,R,4.0
Pato rana o taclón,R,4.0
Cucarachero,R,3.0
Garza blanca chica,R,3.0
Paloma cuculi,R,3.0
Garza azul,Ml,2.0
Saltapalito,R,2.0
Totorero,R,2.0
Garza grande,R,2.0
Huaco de corona amarilla,R,2.0
Bandurria de Cara Negra,Acc,1.0
Gaviota peruana,Ml,1.0
Garza cuca,Ma,1.0
Espatula rosada,Acc,1.0
Gallineta común,R,1.0
