NOMBRE COMUN,STATUS,T-7
Paloma cuculi,R,26.0
Gallinazo cabeza negra,R,25.0
Tordo amazónico cabeza amarilla,R,15.0
"Tordo grande, tordo negro",Ml,15.0
Playero pico fino,Mb,14.0
"Huanchaco, Pecho colorado",R,8.0
Chisco,R,6.0
Lechuza de los arenales,R,5.0
"Turtupillín, putilla",R,5.0
Santa Rosita,R,5.0
"Cushuri, cormorán, cuervo de mar",R,5.0
Gavilán oscuro acanalado,R,3.0
Garza grande,R,3.0
Playero manchado,Mb,3.0
Cernícalo,R,2.0
Chorlo doble collar,R,2.0
Playerito semipalmado,Mb,2.0
Saltapalito,R,1.0
Garza azul,R,1.0
Triguero común,R,1.0
Madrugadora o rabiblanca,R,1.0
Totorero,R,1.0
